word_a,word_b,count
passe,via,285
jattends,passe,278
essais,honnetement,276
bloque,bonne,273
perds,rond,271
amelioration,passe,271
perds,tourne,271
limite,support,269
bloque,honnetement,268
moment,perds,268
manque,passe,267
limite,via,265
bref,essais,264
bloque,journee,261
declaration,perds,261
bonne,essais,260
bloque,mieux,259
essais,fini,259
essais,reessayer,258
jattends,limite,258
mieux,perds,256
amelioration,reprendre,256
bloque,coup,256
jattends,reprendre,256
perds,valider,255
coup,essais,253
amelioration,limite,252
bloque,jespere,250
jattends,reussi,250
final,jattends,250
limite,manque,250
amelioration,final,249
amelioration,reussi,249
passe,simplicite,248
bloque,serieux,247
bloque,fini,245
essais,jespere,245
bref,temps,244
bloque,reessayer,243
appeler,essais,243
essais,plus,243
bref,fou,243
letape,perds,242
fini,plusieurs,241
manque,reprendre,241
essais,tourne,240
essais,rond,240
final,support,240
reussi,support,240
plusieurs,reessayer,240
bloque,plus,239
honnetement,plusieurs,239
franchement,mieux,239
final,via,239
reussi,via,239
appeler,bloque,238
essais,journee,238
justificatifs,perds,237
coup,navance,237
coup,plusieurs,237
limite,simplicite,236
reprendre,simplicite,235
bloque,corriger,235
bref,plusieurs,234
bloque,ira,233
reprendre,support,233
franchement,photos,233
fini,temps,232
fini,fou,232
reprendre,via,232
perds,sinistre,232
bloque,devient,231
final,manque,230
bonne,navance,230
manque,reussi,230
journee,navance,230
bloque,penible,230
malgre,reessayer,229
essais,mieux,229
jespere,plusieurs,228
corriger,navance,228
bloque,moment,228
appeler,plusieurs,228
fini,navance,227
bloque,vite,226
bonne,plusieurs,226
mitige,passe,226
plus,plusieurs,225
navance,vite,224
devient,fou,224
devient,temps,224
entre,perds,224
appeler,navance,224
honnetement,malgre,224
journee,plusieurs,223
navance,reessayer,223
fini,malgre,222
essais,ira,222
devient,navance,222
navance,photos,222
bonne,franchement,222
final,simplicite,221
bloque,declaration,221
reussi,simplicite,221
navance,plus,221
corriger,essais,220
navance,penible,219
apres,franchement,218
bref,malgre,218
mieux,passe,217
essais,serieux,217
jespere,malgre,216
depuis,plusieurs,216
journee,malgre,215
bonne,malgre,215
devient,essais,215
essais,vite,214
malgre,plus,214
jattends,mitige,213
photos,plusieurs,213
coup,malgre,213
amelioration,mitige,213
malgre,photos,213
fou,honnetement,212
honnetement,temps,212
bloque,valider,211
honnetement,navance,211
corriger,plusieurs,211
echoue,perds,211
devient,franchement,210
letape,passe,210
aide,final,210
aide,reussi,210
jespere,temps,210
essais,penible,210
fou,jespere,210
limite,mitige,209
appeler,malgre,209
fini,franchement,208
photos,temps,208
fou,photos,208
fou,penible,207
penible,temps,207
fin,perds,206
franchement,penible,206
bonne,temps,205
bonne,fou,205
coup,temps,205
plusieurs,vite,205
journee,temps,205
coup,fou,205
ira,plusieurs,205
fou,journee,205
declaration,franchement,204
jespere,navance,204
bref,navance,204
aide,reprendre,203
ira,navance,203
mitige,reprendre,203
plusieurs,serieux,203
corriger,franchement,202
aide,passe,202
devient,plusieurs,202
appeler,franchement,202
perds,sont,202
corriger,malgre,200
reessayer,temps,200
fou,reessayer,200
navance,serieux,199
appeler,fou,199
appeler,temps,199
penible,plusieurs,198
malgre,serieux,197
franchement,vite,197
franchement,journee,197
mieux,navance,195
bloque,letape,195
malgre,moment,194
moment,plusieurs,194
devient,malgre,194
malgre,vite,194
essais,moment,194
ira,malgre,193
manque,mitige,192
aide,limite,192
bloque,fin,192
mieux,plusieurs,192
limite,mieux,190
malgre,penible,190
mitige,via,189
mitige,support,189
apres,navance,188
fou,serieux,188
plusieurs,valider,188
manque,mieux,188
serieux,temps,188
mitige,simplicite,188
mieux,support,187
final,mieux,187
franchement,rond,187
franchement,reessayer,187
franchement,tourne,187
mieux,reussi,187
corriger,fou,186
corriger,temps,186
bloque,justificatifs,184
mieux,via,184
mitige,reussi,182
final,mitige,182
franchement,serieux,181
franchement,moment,180
aide,mitige,180
franchement,plus,180
franchement,jespere,179
echoue,franchement,179
apres,temps,179
echoue,essais,179
apres,fou,179
mieux,simplicite,179
apres,malgre,178
apres,plusieurs,178
fou,plus,176
franchement,valider,176
plus,temps,176
declaration,navance,175
essais,valider,174
malgre,valider,174
franchement,sinistre,173
moment,navance,173
declaration,photos,172
temps,vite,171
fou,vite,171
apres,photos,169
bloque,tourne,169
bloque,rond,169
letape,photos,169
malgre,mieux,169
justificatifs,photos,169
moment,temps,166
depuis,perds,166
fou,moment,166
franchement,ira,166
rond,temps,165
fou,ira,165
ira,temps,165
temps,tourne,165
navance,valider,164
moment,photos,164
photos,valider,164
fou,rond,164
fou,tourne,164
jattends,mieux,163
plusieurs,rond,163
plusieurs,tourne,163
malgre,tourne,163
malgre,rond,163
mieux,reprendre,162
plusieurs,sinistre,161
amelioration,mieux,160
temps,valider,158
fou,valider,158
entre,franchement,157
fin,photos,153
decu,photos,151
declaration,fou,150
declaration,temps,150
malgre,sinistre,149
essais,sinistre,149
bref,franchement,147
declaration,essais,147
declaration,malgre,147
declaration,plusieurs,147
bol,reessayer,146
ras,reessayer,146
mieux,photos,146
fou,justificatifs,146
justificatifs,temps,146
bloque,temps,145
bref,decu,145
bloque,fou,145
decu,journee,144
bonne,decu,144
honnetement,mieux,143
navance,rond,143
navance,tourne,143
fou,letape,142
entre,temps,142
entre,fou,142
navance,sinistre,142
letape,temps,142
bol,serieux,142
ras,serieux,142
franchement,letape,140
bref,mieux,140
plus,ras,140
bol,plus,140
franchement,passe,140
fou,mieux,139
mieux,temps,139
franchement,ras,138
bloque,sinistre,138
entre,essais,138
bol,franchement,138
bol,coup,138
franchement,honnetement,138
entre,plusieurs,138
entre,malgre,138
coup,ras,138
devient,inadmissible,137
coup,franchement,137
franchement,justificatifs,137
bol,fini,137
fini,ras,137
bref,photos,136
letape,malgre,136
letape,plusieurs,136
essais,letape,136
sinistre,temps,135
journee,ras,134
coup,passe,134
bol,journee,134
bol,bonne,134
bonne,ras,134
bol,bref,133
fini,inadmissible,133
bref,ras,133
fou,sinistre,133
bloque,entre,133
bloque,navance,133
fin,malgre,132
appeler,bol,132
mecontent,reessayer,132
appeler,ras,132
fou,sont,132
sont,temps,132
fin,plusieurs,132
mecontent,photos,132
inadmissible,penible,132
essais,fin,132
letape,navance,132
aide,mieux,131
franchement,inadmissible,131
echoue,navance,131
decu,jespere,131
depuis,franchement,130
bref,mecontent,130
bol,jespere,130
honnetement,photos,130
jespere,ras,130
bonne,mecontent,129
coup,decu,129
journee,mecontent,129
inadmissible,jespere,129
mecontent,plus,129
corriger,ras,129
decu,fini,129
bol,corriger,129
decu,franchement,128
franchement,sont,128
honnetement,ras,128
bol,honnetement,128
honnetement,inadmissible,128
honnetement,passe,128
fin,fou,128
fin,temps,128
mecontent,penible,127
bol,vite,127
fin,navance,127
devient,mecontent,127
ras,vite,127
declaration,rond,126
echoue,temps,126
echoue,fou,126
bol,ira,126
corriger,decu,126
ira,ras,126
justificatifs,navance,126
declaration,tourne,126
essais,justificatifs,125
bonne,rapide,125
justificatifs,plusieurs,125
fin,franchement,125
justificatifs,malgre,125
echoue,plusieurs,125
fini,mecontent,124
entre,navance,124
appeler,inadmissible,123
franchement,mecontent,123
bloque,sont,123
decu,devient,123
bref,inadmissible,122
bref,passe,122
jespere,mecontent,121
depuis,malgre,121
depuis,essais,121
moment,ras,121
coup,mecontent,121
bol,moment,121
apres,echoue,120
mieux,ras,120
apres,decu,120
inadmissible,journee,120
bonne,inadmissible,120
bol,mieux,120
appeler,mecontent,119
honnetement,moment,118
bol,devient,118
devient,ras,118
honnetement,mecontent,118
justificatifs,sont,117
coup,inadmissible,117
bol,penible,117
inadmissible,ira,117
penible,ras,117
coup,mieux,116
bloque,depuis,116
bonne,coup,115
decu,reessayer,114
coup,moment,114
bloque,echoue,114
mecontent,moment,114
depuis,temps,114
depuis,fou,114
decu,honnetement,114
apres,honnetement,114
corriger,mecontent,113
decu,vite,113
inadmissible,rond,112
mecontent,serieux,112
inadmissible,tourne,112
apres,mieux,111
coup,photos,111
apres,coup,111
inadmissible,reessayer,111
echoue,malgre,111
decu,penible,110
depuis,navance,110
inadmissible,serieux,110
apres,bref,109
decu,serieux,109
ras,valider,109
bol,valider,109
entre,sont,109
appeler,decu,109
plusieurs,sont,108
essais,sont,108
malgre,sont,108
decu,plus,108
mecontent,vite,108
ras,tourne,107
bol,tourne,107
ras,rond,107
bol,rond,107
honnetement,limite,107
decu,ira,107
photos,ras,106
bol,photos,106
franchement,reussi,106
final,franchement,106
apres,bol,105
inadmissible,mieux,105
navance,sont,105
apres,ras,105
honnetement,reussi,105
ira,mecontent,105
final,honnetement,105
honnetement,via,105
honnetement,support,105
decu,letape,104
bonne,photos,104
mecontent,valider,104
apres,mecontent,103
bloque,passe,103
inadmissible,photos,103
bonne,honnetement,103
bref,reprendre,103
inadmissible,plus,102
corriger,inadmissible,102
echoue,justificatifs,102
echoue,letape,102
apres,passe,102
apres,inadmissible,102
honnetement,manque,101
bref,declaration,101
bref,support,101
apres,bonne,100
mieux,moment,100
bref,via,100
bref,moment,100
coup,declaration,99
decu,valider,99
mecontent,mieux,99
entre,tourne,99
entre,rond,99
decu,rond,99
decu,tourne,99
bref,fini,98
coup,final,98
franchement,jattends,98
inadmissible,vite,98
coup,reussi,98
coup,journee,97
decu,justificatifs,97
honnetement,simplicite,97
amelioration,franchement,97
coup,limite,97
coup,manque,97
honnetement,jattends,97
mieux,rond,96
declaration,mecontent,96
amelioration,honnetement,96
decu,moment,96
entre,honnetement,96
mieux,tourne,96
bref,serieux,96
appeler,bref,96
bref,limite,96
apres,rond,95
essais,passe,95
apres,tourne,95
bonne,bref,95
mieux,valider,95
coup,jattends,94
inadmissible,moment,94
franchement,manque,94
coup,rond,93
fin,honnetement,93
decu,mieux,93
bref,valider,93
coup,valider,93
letape,mieux,93
declaration,inadmissible,93
coup,tourne,93
franchement,simplicite,92
franchement,via,92
franchement,support,92
justificatifs,mieux,92
honnetement,valider,92
bref,jattends,91
honnetement,reprendre,91
amelioration,coup,91
bol,declaration,91
declaration,mieux,91
coup,devient,91
amelioration,bref,91
bol,sinistre,91
declaration,ras,91
ras,sinistre,91
franchement,limite,90
echoue,valider,90
echoue,moment,90
coup,simplicite,90
fini,honnetement,90
honnetement,sinistre,90
passe,photos,90
limite,photos,90
bref,entre,90
bref,fin,90
bref,devient,90
bref,rond,89
bref,penible,89
bref,tourne,89
tourne,valider,89
moment,rond,89
bref,manque,89
rond,valider,89
moment,tourne,89
honnetement,rond,89
bref,sinistre,89
passe,perds,89
honnetement,tourne,89
aide,bref,88
franchement,reprendre,88
bonne,rond,88
bonne,tourne,88
coup,support,88
appeler,honnetement,88
bonne,declaration,88
limite,moment,87
honnetement,letape,87
moment,passe,87
fin,ras,87
bol,fin,87
bonne,moment,87
honnetement,justificatifs,86
bref,mitige,86
coup,via,86
photos,reprendre,86
jespere,photos,86
ira,photos,86
entre,ras,85
coup,reprendre,85
decu,fin,85
letape,mecontent,85
coup,letape,85
letape,tourne,85
letape,rond,85
justificatifs,tourne,85
justificatifs,rond,85
bref,jespere,85
bol,entre,85
bref,letape,84
bref,simplicite,84
amelioration,moment,84
jattends,moment,84
photos,support,83
photos,via,83
jattends,photos,83
honnetement,jespere,83
amelioration,photos,83
coup,mitige,83
depuis,fin,83
passe,valider,83
bref,corriger,82
apres,fini,82
photos,simplicite,82
manque,photos,82
declaration,decu,82
aide,photos,82
bref,final,82
aide,honnetement,82
passe,plusieurs,82
coup,penible,82
inadmissible,letape,82
bref,reussi,82
echoue,honnetement,81
inadmissible,sinistre,81
declaration,limite,81
declaration,passe,81
bref,justificatifs,81
decu,sinistre,81
honnetement,serieux,80
fin,mieux,80
fin,mecontent,80
franchement,rapide,80
moment,simplicite,80
manque,moment,80
justificatifs,mecontent,80
decu,entre,80
coup,reessayer,80
entre,inadmissible,80
inadmissible,valider,79
apres,via,78
fini,photos,78
apres,support,78
decu,sont,78
appeler,photos,78
coup,justificatifs,78
bol,justificatifs,78
justificatifs,ras,78
echoue,mecontent,78
bref,ira,78
journee,photos,77
bref,vite,77
devient,honnetement,77
appeler,apres,77
mecontent,rond,77
mecontent,tourne,77
fin,inadmissible,77
bonne,entre,77
bonne,sinistre,76
corriger,honnetement,76
bol,sont,76
ras,sont,76
moment,reprendre,76
bonne,valider,76
bref,sont,76
photos,serieux,76
honnetement,penible,75
honnetement,journee,75
echoue,mieux,75
coup,fini,75
honnetement,ira,75
mecontent,sinistre,75
aide,franchement,75
bref,depuis,74
final,moment,74
moment,reussi,74
bol,echoue,74
honnetement,vite,74
declaration,honnetement,74
corriger,coup,74
honnetement,reessayer,74
echoue,ras,74
echoue,fin,74
depuis,mecontent,74
fin,passe,73
apres,limite,73
bonne,letape,73
moment,support,73
moment,via,73
fin,limite,73
aide,apres,73
entre,mecontent,73
coup,plus,73
corriger,photos,73
declaration,echoue,73
apres,reessayer,73
photos,vite,73
jattends,valider,72
honnetement,mitige,72
entre,mieux,72
mieux,sinistre,72
apres,reussi,72
coup,sont,72
coup,jespere,72
photos,reussi,72
bref,journee,72
bonne,echoue,72
jattends,rond,72
jattends,tourne,72
bonne,fin,72
corriger,moment,72
final,photos,72
coup,fin,72
apres,final,72
amelioration,valider,71
inadmissible,justificatifs,71
fin,manque,71
penible,photos,71
devient,photos,71
apres,plus,71
rond,support,70
bol,letape,70
support,tourne,70
depuis,mieux,70
letape,ras,70
apres,corriger,70
honnetement,plus,70
franchement,mitige,69
fin,simplicite,69
bref,echoue,69
amelioration,tourne,69
amelioration,rond,69
declaration,fini,69
apres,jattends,69
apres,vite,69
mecontent,sont,69
amelioration,apres,69
moment,vite,69
echoue,inadmissible,69
tourne,via,69
rond,via,69
coup,vite,68
final,rond,68
final,tourne,68
depuis,passe,68
reussi,tourne,68
reussi,rond,68
coup,sinistre,68
declaration,jattends,68
amelioration,declaration,68
reprendre,valider,68
appeler,declaration,68
final,valider,67
bref,reessayer,67
jespere,rond,67
reussi,valider,67
apres,journee,67
jespere,tourne,67
moment,rapide,67
decu,echoue,67
fin,tourne,67
fin,rond,67
photos,reessayer,67
depuis,honnetement,67
jespere,letape,66
photos,plus,66
bref,plus,66
jespere,justificatifs,66
limite,rond,66
limite,tourne,66
sinistre,sont,66
mitige,photos,66
passe,tourne,66
declaration,via,66
passe,rond,66
declaration,support,66
devient,tourne,65
justificatifs,passe,65
devient,rond,65
apres,reprendre,65
jattends,letape,65
coup,depuis,65
bol,depuis,65
apres,devient,65
moment,serieux,65
bonne,depuis,65
depuis,ras,65
amelioration,entre,65
letape,limite,65
justificatifs,limite,65
fin,support,65
manque,valider,65
apres,jespere,65
entre,jattends,65
devient,valider,64
fin,reprendre,64
honnetement,rapide,64
corriger,valider,64
aide,moment,64
fin,via,64
justificatifs,support,63
devient,moment,63
penible,valider,63
bonne,sont,63
mieux,sont,63
coup,ira,63
justificatifs,via,63
coup,echoue,63
apres,manque,63
mitige,valider,63
amelioration,letape,63
apres,simplicite,63
fini,rond,63
fini,tourne,63
apres,penible,63
depuis,simplicite,62
apres,ira,62
fin,jattends,62
entre,fini,62
simplicite,valider,62
fini,moment,62
moment,penible,62
depuis,manque,62
apres,mitige,62
declaration,reessayer,61
fin,reussi,61
bonne,justificatifs,61
declaration,journee,61
letape,support,61
amelioration,fin,61
declaration,plus,61
reessayer,rond,61
reessayer,tourne,61
aide,coup,61
depuis,inadmissible,61
valider,vite,61
fin,final,61
limite,valider,61
photos,rapide,61
journee,valider,60
appeler,entre,60
bref,rapide,60
reprendre,tourne,60
reprendre,rond,60
coup,serieux,60
journee,moment,60
coup,entre,60
declaration,manque,60
honnetement,sont,60
bloque,reprendre,60
letape,via,60
entre,limite,59
support,valider,59
valider,via,59
appeler,coup,59
entre,passe,59
corriger,declaration,59
echoue,fini,59
fini,sinistre,59
moment,reessayer,59
echoue,via,58
declaration,reprendre,58
mitige,moment,58
echoue,support,58
apres,serieux,58
appeler,echoue,58
journee,tourne,58
penible,rond,58
journee,rond,58
declaration,vite,58
navance,passe,58
penible,tourne,58
plus,tourne,57
plus,rond,57
passe,sont,57
appeler,moment,57
serieux,valider,57
devient,letape,57
final,letape,56
passe,sinistre,56
limite,sinistre,56
entre,journee,56
letape,reussi,56
declaration,devient,56
jattends,sinistre,56
declaration,final,55
fin,jespere,55
amelioration,sinistre,55
amelioration,echoue,55
declaration,reussi,55
declaration,simplicite,55
echoue,jattends,55
echoue,reprendre,55
letape,reprendre,55
declaration,rapide,55
aide,echoue,55
letape,penible,55
bloque,support,54
aide,declaration,54
appeler,sinistre,54
apres,rapide,54
corriger,echoue,54
bloque,via,54
depuis,fini,54
moment,plus,54
declaration,penible,54
amelioration,justificatifs,54
jattends,justificatifs,54
aide,bloque,54
ira,justificatifs,54
appeler,depuis,53
ira,letape,53
depuis,reprendre,53
declaration,jespere,53
fin,journee,53
depuis,limite,53
reprendre,sinistre,53
devient,entre,53
appeler,tourne,53
echoue,vite,53
appeler,rond,53
manque,sinistre,53
decu,depuis,53
journee,sinistre,52
devient,fin,52
manque,tourne,52
fini,justificatifs,52
manque,rond,52
fin,mitige,52
reussi,sinistre,52
entre,penible,52
declaration,sinistre,52
final,sinistre,52
reessayer,sont,51
fin,serieux,51
echoue,final,51
echoue,reussi,51
depuis,reessayer,51
declaration,serieux,51
depuis,plus,51
echoue,plus,50
entre,final,50
simplicite,tourne,50
letape,manque,50
justificatifs,reessayer,50
justificatifs,reussi,50
jespere,valider,50
entre,reussi,50
aide,fin,50
echoue,passe,50
corriger,tourne,50
jattends,sont,50
echoue,limite,50
rond,simplicite,50
echoue,reessayer,50
final,justificatifs,50
corriger,rond,50
amelioration,sont,50
declaration,ira,49
aide,justificatifs,49
sinistre,support,49
entre,jespere,49
journee,letape,49
justificatifs,penible,49
justificatifs,plus,49
corriger,sinistre,49
devient,justificatifs,49
entre,reprendre,49
inadmissible,sont,49
fini,sont,49
fin,penible,48
corriger,justificatifs,48
sont,via,48
essais,limite,48
reprendre,sont,48
final,sont,48
entre,rapide,48
reussi,sont,48
bloque,simplicite,48
rapide,rond,48
amelioration,bloque,48
letape,reessayer,48
bloque,manque,48
bloque,limite,48
bloque,jattends,48
ira,valider,48
sont,support,48
rapide,tourne,48
echoue,journee,47
entre,support,47
fin,ira,47
aide,valider,47
fini,valider,47
rapide,valider,47
serieux,sinistre,47
letape,plus,47
sinistre,tourne,47
rond,sinistre,47
corriger,letape,47
letape,mitige,47
malgre,passe,47
justificatifs,serieux,46
journee,sont,46
ira,rond,46
appeler,justificatifs,46
ira,tourne,46
corriger,entre,46
fini,letape,46
entre,manque,46
rond,vite,46
tourne,vite,46
fin,rapide,45
sinistre,via,45
depuis,mitige,45
fin,fini,45
entre,via,45
jespere,sinistre,45
justificatifs,vite,45
devient,echoue,45
entre,simplicite,45
reessayer,valider,45
limite,sont,45
plus,sont,44
letape,serieux,44
echoue,penible,44
essais,reussi,43
depuis,rapide,43
echoue,manque,43
depuis,via,43
depuis,support,43
essais,final,43
amelioration,depuis,43
letape,simplicite,43
appeler,fin,43
depuis,jattends,43
manque,sont,43
declaration,sont,43
echoue,simplicite,43
fin,reessayer,43
devient,sinistre,43
serieux,sont,43
entre,serieux,42
mitige,tourne,42
mitige,rond,42
echoue,serieux,42
essais,support,42
entre,ira,42
depuis,journee,42
essais,via,42
bloque,final,42
coup,rapide,42
aide,rond,42
aide,tourne,42
bloque,reussi,42
sinistre,vite,42
justificatifs,reprendre,42
depuis,reussi,42
depuis,final,42
jespere,moment,42
letape,vite,42
entre,vite,42
aide,depuis,41
essais,simplicite,41
letape,rapide,41
mitige,sont,41
justificatifs,mitige,41
appeler,valider,41
plus,valider,41
fin,moment,41
declaration,mitige,41
penible,sinistre,41
reessayer,sinistre,41
aide,essais,41
essais,manque,41
simplicite,sont,41
journee,justificatifs,41
aide,letape,41
corriger,sont,40
echoue,mitige,40
fou,passe,40
jespere,sont,40
fin,plus,40
appeler,letape,40
passe,temps,40
bloque,mitige,40
mitige,sinistre,40
appeler,sont,40
corriger,fin,40
justificatifs,manque,40
simplicite,sinistre,40
