word_a,word_b,count
amelioration,j'ai,514
c'est,encore,513
photos,restent,510
attente,photos,510
attente,restent,510
essais,trois,509
apres,trois,509
c'est,n'avance,508
franchement,malgre,506
j'ai,tout,498
bloque,merci,493
j'ai,support,485
j'ai,via,483
j'ai,manque,477
alors,j'ai,476
c'est,franchement,470
essais,merci,467
j'ai,perds,466
bloque,meme,463
j'ai,simplicite,462
franchement,merci,456
bloque,j'ai,438
merci,plusieurs,436
merci,rien,430
aide,j'ai,421
merci,n'avance,414
encore,merci,413
malgre,merci,412
essais,j'ai,412
alors,c'est,410
quand,tout,408
alors,perds,407
bol,essais,407
essais,ras,407
c'est,support,400
bloque,decu,399
meme,tout,396
c'est,j'attends,396
c'est,via,396
bref,perds,393
j'ai,mitige,392
bloque,quand,391
fou,merci,391
merci,temps,391
plusieurs,ras,390
amelioration,c'est,390
essais,quand,390
bol,plusieurs,390
c'est,manque,387
bloque,ras,387
bloque,bol,387
franchement,quand,386
bloque,inadmissible,383
bol,rien,381
ras,rien,381
decu,essais,379
bloque,mecontent,379
c'est,quand,378
essais,inadmissible,377
plusieurs,quand,376
fini,perds,376
bonne,tout,374
malgre,ras,373
bol,malgre,373
bref,c'est,372
devient,perds,371
bol,n'avance,371
j'ai,mieux,371
n'avance,ras,371
malgre,quand,370
c'est,simplicite,370
essais,mecontent,369
quand,rien,369
decu,tout,368
perds,vais,367
j'ai,terrible,367
bon,j'ai,367
honnetement,j'ai,367
globalement,j'ai,364
ras,temps,363
bol,fou,363
entre,sinistre,363
fou,ras,363
c'est,honnetement,363
bol,temps,363
mecontent,plusieurs,360
decu,temps,359
decu,fou,357
franchement,meme,356
inadmissible,plusieurs,356
mecontent,rien,356
j'ai,pourrait,356
bref,j'ai,353
penible,perds,350
decu,rien,350
perds,reessayer,350
decu,plusieurs,349
j'espere,perds,349
bol,tout,348
coup,perds,348
ras,tout,348
encore,quand,347
n'avance,quand,346
perds,photos,345
c'est,meme,344
encore,meme,344
j'ai,plusieurs,344
mecontent,n'avance,342
journee,perds,341
inadmissible,rien,341
bonne,perds,341
inadmissible,malgre,340
c'est,coup,340
essais,meme,340
malgre,mecontent,339
essais,photos,338
honnetement,perds,338
decu,encore,337
inadmissible,temps,337
appeler,perds,336
fou,inadmissible,336
decu,malgre,335
decu,n'avance,334
bol,encore,332
encore,ras,332
quand,temps,332
fou,quand,330
encore,inadmissible,329
mecontent,tout,328
meme,rien,327
encore,mecontent,326
inadmissible,tout,326
corriger,perds,326
meme,plusieurs,326
coup,j'ai,326
fou,mecontent,324
mecontent,temps,324
apres,perds,323
inadmissible,n'avance,321
malgre,meme,320
meme,temps,319
fou,meme,319
meme,n'avance,317
aide,c'est,315
j'ai,rien,313
c'est,trop,312
alors,bloque,311
n'arrive,sinistre,309
c'est,mieux,308
c'est,photos,307
j'ai,photos,305
apres,tout,304
alors,tout,304
perds,serieux,304
apres,j'ai,301
rien,valider,300
perds,vite,299
j'ai,moment,297
apres,bloque,297
j'ai,temps,295
fou,j'ai,295
alors,essais,292
ira,perds,291
passe,support,290
perds,tard,287
bloque,bref,286
passe,via,285
photos,tout,279
j'attends,passe,278
j'ai,meme,277
j'ai,trop,277
honnetement,tout,276
essais,honnetement,276
coup,tout,275
j'ai,quand,274
bref,tout,274
bloque,bonne,273
perds,rond,271
perds,tourne,271
j'ai,malgre,271
amelioration,passe,271
alors,plusieurs,270
limite,support,269
bloque,honnetement,268
j'ai,n'avance,268
moment,perds,268
manque,passe,267
c'est,moment,267
alors,temps,266
limite,via,265
alors,fou,265
essais,vais,264
bref,essais,264
declaration,perds,261
apres,c'est,261
bloque,journee,261
bonne,essais,260
essais,fini,259
bloque,mieux,259
moment,tout,259
j'attends,limite,258
encore,j'ai,258
essais,reessayer,258
j'attends,m'y,256
amelioration,reprendre,256
j'attends,reprendre,256
mieux,perds,256
alors,rien,256
bloque,coup,256
amelioration,m'y,256
coup,rien,255
perds,valider,255
c'est,valider,254
coup,essais,253
amelioration,limite,252
j'ai,rapide,252
c'est,merci,252
final,j'attends,250
j'attends,reussi,250
limite,manque,250
bloque,j'espere,250
meme,photos,249
amelioration,reussi,249
amelioration,final,249
passe,simplicite,248
bol,merci,248
merci,ras,248
c'est,tourne,247
c'est,rond,247
bloque,serieux,247
j'ai,rond,246
j'ai,tourne,246
bonne,rien,246
bloque,vais,246
bloque,fini,245
plusieurs,vais,245
essais,j'espere,245
bref,temps,244
bloque,reessayer,243
appeler,essais,243
alors,malgre,243
bref,fou,243
l'etape,perds,242
manque,reprendre,241
declaration,j'ai,241
m'y,manque,241
fini,plusieurs,241
final,support,240
journee,rien,240
reussi,support,240
plusieurs,reessayer,240
essais,tourne,240
essais,rond,240
final,via,239
franchement,mieux,239
reussi,via,239
honnetement,plusieurs,239
essais,journee,238
appeler,bloque,238
c'est,declaration,237
coup,n'avance,237
coup,plusieurs,237
justificatifs,perds,237
limite,simplicite,236
reprendre,simplicite,235
bloque,corriger,235
alors,n'avance,235
decu,merci,235
m'y,simplicite,235
bref,plusieurs,234
devient,rien,234
malgre,vais,234
fini,rien,233
reprendre,support,233
m'y,support,233
franchement,photos,233
bloque,ira,233
m'y,via,232
fini,temps,232
j'ai,valider,232
fini,fou,232
reprendre,via,232
perds,sinistre,232
perds,trop,232
mecontent,merci,232
bloque,devient,231
corriger,rien,231
final,manque,230
alors,encore,230
manque,reussi,230
tourne,tout,230
declaration,tout,230
bonne,n'avance,230
rond,tout,230
bloque,penible,230
penible,rien,230
journee,n'avance,230
malgre,reessayer,229
appeler,rien,229
essais,mieux,229
corriger,n'avance,228
j'espere,plusieurs,228
bloque,moment,228
appeler,plusieurs,228
inadmissible,merci,227
rien,vais,227
fini,n'avance,227
fin,j'ai,227
bref,encore,227
rien,vite,227
bloque,vite,226
mitige,passe,226
reessayer,rien,226
bonne,plusieurs,226
c'est,fin,226
devient,tout,226
c'est,sinistre,225
honnetement,malgre,224
appeler,n'avance,224
devient,fou,224
n'avance,vite,224
entre,perds,224
devient,temps,224
journee,plusieurs,223
n'avance,reessayer,223
n'avance,vais,223
tout,vais,223
bref,rien,222
photos,rien,222
honnetement,rien,222
essais,ira,222
devient,n'avance,222
fini,malgre,222
bonne,franchement,222
n'avance,photos,222
final,simplicite,221
bloque,declaration,221
reussi,simplicite,221
essais,tard,221
bloque,tard,221
corriger,essais,220
n'avance,penible,219
c'est,l'etape,218
apres,franchement,218
bref,malgre,218
quand,ras,217
mieux,passe,217
bonne,encore,217
encore,journee,217
bol,quand,217
essais,serieux,217
c'est,m'y,216
c'est,reprendre,216
j'espere,malgre,216
depuis,plusieurs,216
mieux,rien,215
bonne,malgre,215
journee,malgre,215
devient,essais,215
fou,vais,215
temps,vais,215
j'espere,rien,215
rapide,tout,214
ira,rien,214
essais,vite,214
j'ai,l'etape,213
coup,malgre,213
photos,plusieurs,213
encore,fini,213
rien,tard,213
amelioration,mitige,213
malgre,photos,213
j'attends,mitige,213
fou,honnetement,212
n'avance,tard,212
honnetement,temps,212
apres,rien,212
encore,vais,212
encore,j'espere,211
rien,serieux,211
corriger,plusieurs,211
honnetement,n'avance,211
echoue,perds,211
reessayer,tout,211
bloque,valider,211
devient,franchement,210
encore,serieux,210
fou,j'espere,210
aide,final,210
l'etape,passe,210
aide,reussi,210
j'espere,temps,210
bon,passe,210
essais,penible,210
passe,terrible,210
appeler,malgre,209
encore,reessayer,209
limite,mitige,209
j'espere,tout,209
penible,tout,209
photos,temps,208
fini,franchement,208
fini,tout,208
fou,photos,208
journee,tout,207
l'etape,tout,207
penible,temps,207
bol,meme,207
meme,ras,207
fou,penible,207
fin,perds,206
franchement,penible,206
appeler,encore,206
coup,fou,205
coup,temps,205
ira,plusieurs,205
fou,journee,205
inadmissible,quand,205
plusieurs,vite,205
merci,photos,205
bonne,fou,205
bonne,temps,205
journee,temps,205
tout,valider,204
declaration,franchement,204
c'est,justificatifs,204
j'espere,n'avance,204
bref,n'avance,204
plusieurs,tard,204
passe,pourrait,203
corriger,tout,203
encore,honnetement,203
plusieurs,serieux,203
echoue,j'ai,203
aide,reprendre,203
mitige,reprendre,203
ira,n'avance,203
corriger,encore,203
aide,m'y,203
m'y,mitige,203
appeler,franchement,202
aide,passe,202
perds,sont,202
corriger,franchement,202
j'ai,sinistre,202
bon,j'attends,202
devient,plusieurs,202
j'attends,terrible,202
reessayer,temps,200
fou,reessayer,200
entre,j'ai,200
corriger,malgre,200
moment,rien,200
n'avance,serieux,199
coup,encore,199
appeler,fou,199
appeler,temps,199
c'est,globalement,198
reprendre,terrible,198
m'y,terrible,198
bon,reprendre,198
bon,m'y,198
penible,plusieurs,198
amelioration,bon,198
amelioration,terrible,198
devient,encore,198
franchement,journee,197
encore,penible,197
franchement,vite,197
bon,c'est,197
c'est,terrible,197
globalement,passe,197
malgre,serieux,197
sinistre,tout,196
mecontent,quand,196
c'est,pourrait,195
apres,meme,195
bloque,l'etape,195
mieux,n'avance,195
encore,ira,195
alors,merci,194
malgre,vite,194
decu,quand,194
malgre,moment,194
encore,vite,194
devient,malgre,194
moment,plusieurs,194
essais,moment,194
j'ai,justificatifs,193
ira,malgre,193
globalement,support,193
malgre,tard,193
aide,limite,192
bloque,fin,192
inadmissible,meme,192
mieux,plusieurs,192
manque,mitige,192
c'est,entre,192
globalement,via,192
final,globalement,191
depuis,j'ai,191
globalement,reussi,191
mecontent,meme,191
encore,photos,191
limite,pourrait,190
tout,trop,190
malgre,penible,190
limite,mieux,190
c'est,final,190
c'est,reussi,190
limite,terrible,190
bon,limite,190
mitige,support,189
globalement,limite,189
mitige,via,189
serieux,temps,188
plusieurs,valider,188
fou,serieux,188
apres,n'avance,188
manque,pourrait,188
franchement,vais,188
encore,tard,188
mitige,simplicite,188
manque,mieux,188
mieux,reussi,187
pourrait,support,187
final,pourrait,187
mieux,support,187
pourrait,reussi,187
franchement,reessayer,187
final,mieux,187
franchement,tourne,187
franchement,rond,187
apres,encore,187
corriger,temps,186
bloque,trois,186
amelioration,globalement,186
corriger,fou,186
globalement,j'attends,186
encore,mieux,185
j'ai,sont,185
merci,moment,185
bloque,justificatifs,184
pourrait,via,184
mieux,via,184
tout,vite,183
entre,tout,183
echoue,tout,183
decu,meme,183
final,mitige,182
mitige,reussi,182
franchement,serieux,181
appeler,tout,180
franchement,moment,180
aide,mitige,180
echoue,franchement,179
echoue,essais,179
franchement,j'espere,179
pourrait,simplicite,179
apres,fou,179
mieux,simplicite,179
apres,temps,179
essais,tout,179
apres,plusieurs,178
justificatifs,tout,178
apres,malgre,178
c'est,echoue,176
franchement,valider,176
j'ai,merci,176
n'arrive,perds,176
coup,merci,176
declaration,rien,175
declaration,n'avance,175
honnetement,merci,175
bref,merci,175
c'est,depuis,174
malgre,valider,174
essais,valider,174
manque,terrible,173
serieux,tout,173
moment,n'avance,173
essais,restent,173
attente,essais,173
bon,support,173
franchement,sinistre,173
bon,manque,173
support,terrible,173
declaration,photos,172
fou,vite,171
temps,vite,171
terrible,via,171
fin,tout,171
bon,via,171
bol,j'ai,169
encore,tourne,169
encore,rond,169
photos,trois,169
j'ai,ras,169
malgre,mieux,169
tard,tout,169
justificatifs,photos,169
aide,globalement,169
apres,photos,169
l'etape,photos,169
bloque,rond,169
bloque,tourne,169
franchement,trop,168
globalement,manque,168
ira,tout,168
perds,trois,168
globalement,m'y,167
globalement,reprendre,167
franchement,ira,166
encore,moment,166
moment,temps,166
fou,moment,166
c'est,n'arrive,166
franchement,tard,166
depuis,perds,166
temps,tourne,165
fou,ira,165
rond,temps,165
ira,temps,165
alors,franchement,165
globalement,simplicite,164
moment,photos,164
fou,tourne,164
n'avance,valider,164
merci,valider,164
fou,rond,164
j'ai,n'arrive,164
photos,valider,164
alors,sont,163
plusieurs,rond,163
plusieurs,tourne,163
j'attends,pourrait,163
j'attends,mieux,163
apres,merci,163
malgre,tourne,163
malgre,rond,163
final,terrible,162
pourrait,reprendre,162
mieux,reprendre,162
bon,final,162
m'y,pourrait,162
bon,reussi,162
bloque,rien,162
reussi,terrible,162
attente,j'ai,162
j'ai,restent,162
m'y,mieux,162
inadmissible,j'ai,161
plusieurs,sinistre,161
bon,simplicite,161
simplicite,terrible,161
bonne,j'ai,161
amelioration,pourrait,160
amelioration,mieux,160
mieux,tout,159
coup,meme,159
bol,c'est,159
c'est,ras,159
fou,valider,158
decu,j'ai,158
temps,valider,158
alors,passe,158
alors,mecontent,158
n'arrive,plusieurs,158
coup,quand,157
j'ai,mecontent,157
entre,franchement,157
c'est,sont,157
alors,bol,156
alors,ras,156
c'est,restent,156
attente,c'est,156
bref,quand,156
j'ai,trois,156
bref,meme,155
alors,quand,155
merci,rapide,154
alors,mieux,154
honnetement,meme,154
l'etape,rien,154
fin,photos,153
tard,temps,152
alors,meme,152
fou,tard,152
perds,restent,151
decu,photos,151
attente,perds,151
declaration,fou,150
declaration,temps,150
essais,sinistre,149
tout,trois,149
malgre,sinistre,149
encore,valider,149
sont,tout,149
rien,trop,148
alors,decu,148
n'avance,trop,148
c'est,devient,148
declaration,plusieurs,147
bol,vais,147
declaration,malgre,147
declaration,essais,147
bref,franchement,147
ras,vais,147
fou,justificatifs,146
mieux,photos,146
alors,trop,146
justificatifs,temps,146
bol,reessayer,146
ras,reessayer,146
bref,decu,145
bloque,fou,145
bloque,temps,145
bonne,decu,144
decu,journee,144
c'est,penible,143
honnetement,mieux,143
declaration,encore,143
n'avance,tourne,143
rien,rond,143
rien,tourne,143
n'avance,rond,143
entre,temps,142
l'etape,temps,142
honnetement,quand,142
n'avance,sinistre,142
rien,sinistre,142
entre,fou,142
fou,l'etape,142
bol,serieux,142
ras,serieux,142
encore,l'etape,141
franchement,n'arrive,140
franchement,l'etape,140
bref,mieux,140
declaration,merci,140
franchement,passe,140
c'est,trois,139
n'arrive,tout,139
mieux,temps,139
c'est,fini,139
fou,mieux,139
franchement,ras,138
coup,ras,138
franchement,honnetement,138
entre,essais,138
franchement,trois,138
bloque,sinistre,138
entre,malgre,138
bol,coup,138
entre,plusieurs,138
bol,franchement,138
bol,fini,137
coup,franchement,137
encore,sinistre,137
devient,inadmissible,137
franchement,justificatifs,137
c'est,j'espere,137
fini,ras,137
temps,trop,136
essais,l'etape,136
l'etape,malgre,136
c'est,decu,136
bref,photos,136
mecontent,vais,136
l'etape,plusieurs,136
fou,trop,136
sinistre,temps,135
alors,inadmissible,134
depuis,tout,134
bol,bonne,134
bonne,ras,134
coup,passe,134
bol,journee,134
journee,ras,134
bloque,n'avance,133
encore,entre,133
fou,sinistre,133
bonne,c'est,133
fini,inadmissible,133
bol,bref,133
bloque,entre,133
bref,ras,133
appeler,bol,132
essais,fin,132
fin,plusieurs,132
mecontent,photos,132
fin,malgre,132
fou,sont,132
sont,temps,132
mecontent,reessayer,132
appeler,ras,132
l'etape,n'avance,132
bol,tard,132
inadmissible,penible,132
ras,tard,132
aide,mieux,131
aide,pourrait,131
decu,j'espere,131
franchement,inadmissible,131
echoue,n'avance,131
echoue,rien,131
encore,fin,131
honnetement,photos,130
alors,bonne,130
bref,mecontent,130
j'espere,ras,130
bol,j'espere,130
j'ai,passe,130
c'est,mecontent,130
depuis,franchement,130
encore,justificatifs,130
bonne,mecontent,129
decu,fini,129
coup,decu,129
merci,rond,129
bol,corriger,129
corriger,ras,129
appeler,c'est,129
journee,mecontent,129
inadmissible,j'espere,129
merci,tourne,129
honnetement,passe,128
fin,fou,128
c'est,journee,128
honnetement,inadmissible,128
decu,franchement,128
fin,temps,128
bol,honnetement,128
franchement,sont,128
honnetement,ras,128
mecontent,penible,127
fin,n'avance,127
devient,mecontent,127
fin,rien,127
restent,tout,127
bol,vite,127
ras,vite,127
attente,tout,127
echoue,temps,126
bol,ira,126
ira,ras,126
corriger,decu,126
echoue,fou,126
declaration,tourne,126
declaration,rond,126
justificatifs,n'avance,126
justificatifs,rien,126
echoue,meme,126
bonne,rapide,125
aide,terrible,125
echoue,plusieurs,125
aide,bon,125
fin,franchement,125
justificatifs,plusieurs,125
essais,justificatifs,125
justificatifs,malgre,125
c'est,ira,125
entre,n'avance,124
entre,rien,124
fini,mecontent,124
decu,devient,123
meme,restent,123
bloque,sont,123
decu,vais,123
attente,meme,123
appeler,inadmissible,123
franchement,mecontent,123
encore,trop,122
bref,passe,122
bref,inadmissible,122
c'est,vais,122
bloque,trop,122
depuis,malgre,121
j'espere,mecontent,121
depuis,essais,121
bol,moment,121
moment,ras,121
coup,mecontent,121
inadmissible,journee,120
apres,decu,120
apres,echoue,120
bol,mieux,120
bonne,inadmissible,120
mieux,ras,120
essais,n'arrive,119
attente,malgre,119
malgre,restent,119
alors,reprendre,119
alors,m'y,119
franchement,restent,119
attente,franchement,119
malgre,n'arrive,119
appeler,mecontent,119
plusieurs,restent,119
attente,plusieurs,119
bol,devient,118
honnetement,moment,118
honnetement,mecontent,118
devient,ras,118
l'etape,merci,118
merci,trop,118
c'est,reessayer,118
justificatifs,sont,117
bol,penible,117
inadmissible,ira,117
sont,trop,117
coup,inadmissible,117
justificatifs,trop,117
justificatifs,merci,117
penible,ras,117
bloque,depuis,116
coup,mieux,116
alors,support,116
mecontent,tard,116
meme,rond,115
essais,trop,115
bonne,coup,115
meme,tourne,115
alors,apres,115
plusieurs,trop,115
inadmissible,vais,115
c'est,corriger,115
meme,passe,115
entre,merci,115
malgre,trop,115
fin,merci,114
depuis,temps,114
mecontent,moment,114
echoue,encore,114
coup,moment,114
passe,tout,114
depuis,fou,114
bloque,echoue,114
decu,reessayer,114
merci,sinistre,114
apres,honnetement,114
decu,honnetement,114
alors,via,114
corriger,mecontent,113
decu,vite,113
alors,limite,113
echoue,merci,112
mecontent,serieux,112
inadmissible,rond,112
inadmissible,tourne,112
c'est,vite,111
attente,n'avance,111
restent,rien,111
apres,mieux,111
n'arrive,rien,111
malgre,trois,111
plusieurs,trois,111
n'arrive,n'avance,111
apres,coup,111
inadmissible,reessayer,111
echoue,malgre,111
n'avance,restent,111
attente,rien,111
coup,photos,111
depuis,n'avance,110
depuis,rien,110
decu,penible,110
inadmissible,serieux,110
alors,manque,110
encore,trois,110
n'arrive,quand,110
entre,sont,109
apres,bref,109
decu,serieux,109
alors,amelioration,109
alors,j'attends,109
appeler,decu,109
ras,valider,109
bol,valider,109
merci,restent,108
essais,sont,108
alors,valider,108
attente,merci,108
mecontent,vite,108
malgre,sont,108
plusieurs,sont,108
honnetement,limite,107
alors,photos,107
bol,tourne,107
alors,moment,107
bol,rond,107
ras,rond,107
ras,tourne,107
decu,ira,107
alors,simplicite,106
franchement,reussi,106
quand,rond,106
bloque,restent,106
final,franchement,106
bloque,n'arrive,106
bol,photos,106
photos,ras,106
quand,tourne,106
attente,encore,106
attente,bloque,106
encore,restent,106
rien,sont,105
honnetement,reussi,105
n'avance,sont,105
final,honnetement,105
n'avance,trois,105
ira,mecontent,105
inadmissible,mieux,105
rien,trois,105
apres,ras,105
encore,n'arrive,105
n'arrive,temps,105
encore,sont,105
apres,bol,105
honnetement,support,105
honnetement,via,105
mecontent,valider,104
decu,l'etape,104
bonne,photos,104
bref,reprendre,103
bonne,honnetement,103
bloque,passe,103
alors,mitige,103
alors,reussi,103
apres,mecontent,103
alors,final,103
inadmissible,photos,103
fou,n'arrive,103
bref,m'y,103
corriger,inadmissible,102
echoue,justificatifs,102
apres,passe,102
apres,inadmissible,102
entre,n'arrive,102
echoue,l'etape,102
c'est,tard,102
alors,journee,101
bref,support,101
honnetement,manque,101
alors,vais,101
bref,declaration,101
apres,bonne,100
mieux,moment,100
bref,via,100
bref,moment,100
coup,declaration,99
mecontent,mieux,99
decu,valider,99
depuis,encore,99
decu,rond,99
entre,rond,99
decu,tourne,99
passe,quand,99
entre,tourne,99
coup,final,98
inadmissible,vite,98
alors,declaration,98
franchement,j'attends,98
bref,fini,98
coup,reussi,98
amelioration,franchement,97
attente,justificatifs,97
coup,manque,97
honnetement,j'attends,97
coup,limite,97
coup,journee,97
attente,l'etape,97
justificatifs,restent,97
l'etape,restent,97
alors,fini,97
alors,n'arrive,97
honnetement,simplicite,97
decu,justificatifs,97
mieux,tourne,96
mieux,rond,96
meme,moment,96
appeler,bref,96
bref,limite,96
alors,echoue,96
entre,honnetement,96
amelioration,honnetement,96
declaration,mecontent,96
fou,trois,96
merci,n'arrive,96
decu,moment,96
bref,serieux,96
temps,trois,96
essais,passe,95
apres,rond,95
rond,trois,95
tourne,trois,95
bonne,bref,95
inadmissible,tard,95
decu,tard,95
mieux,valider,95
apres,tourne,95
fou,restent,94
merci,sont,94
franchement,manque,94
mieux,quand,94
restent,temps,94
alors,reessayer,94
inadmissible,moment,94
coup,j'attends,94
attente,fou,94
attente,temps,94
fin,honnetement,93
l'etape,mieux,93
declaration,inadmissible,93
decu,mieux,93
coup,valider,93
coup,tourne,93
bref,valider,93
meme,mieux,93
coup,rond,93
honnetement,valider,92
franchement,support,92
franchement,via,92
photos,quand,92
franchement,simplicite,92
justificatifs,mieux,92
ras,sinistre,91
honnetement,m'y,91
declaration,ras,91
bol,declaration,91
bol,sinistre,91
amelioration,coup,91
coup,devient,91
declaration,mieux,91
ras,trop,91
alors,appeler,91
amelioration,bref,91
honnetement,reprendre,91
bol,trop,91
bref,j'attends,91
franchement,limite,90
fini,honnetement,90
quand,valider,90
bref,devient,90
alors,j'espere,90
bref,fin,90
coup,simplicite,90
limite,photos,90
depuis,merci,90
bref,entre,90
passe,photos,90
honnetement,sinistre,90
echoue,moment,90
echoue,valider,90
coup,trop,89
honnetement,tourne,89
bref,sinistre,89
restent,valider,89
tourne,valider,89
moment,rond,89
moment,tourne,89
honnetement,rond,89
bref,penible,89
bref,tourne,89
bref,rond,89
bref,manque,89
attente,moment,89
attente,valider,89
moment,restent,89
merci,trois,89
passe,perds,89
rond,valider,89
appeler,honnetement,88
alors,devient,88
franchement,reprendre,88
franchement,m'y,88
aide,bref,88
coup,support,88
passe,rien,88
bonne,declaration,88
bonne,rond,88
bonne,tourne,88
bonne,moment,87
honnetement,l'etape,87
bol,fin,87
moment,passe,87
sinistre,trop,87
fin,ras,87
alors,justificatifs,87
limite,moment,87
alors,corriger,87
photos,reprendre,86
honnetement,justificatifs,86
mieux,trop,86
plusieurs,tout,86
m'y,photos,86
coup,via,86
bref,mitige,86
alors,rond,86
ira,photos,86
alors,tourne,86
j'espere,photos,86
decu,fin,85
bref,j'espere,85
aide,alors,85
l'etape,mecontent,85
honnetement,trop,85
justificatifs,tourne,85
justificatifs,rond,85
echoue,trois,85
entre,ras,85
coup,m'y,85
coup,reprendre,85
l'etape,rond,85
l'etape,tourne,85
bonne,meme,85
coup,l'etape,85
bol,entre,85
bonne,quand,85
quand,sinistre,84
bref,l'etape,84
bref,simplicite,84
j'attends,moment,84
amelioration,moment,84
quand,sont,84
alors,penible,84
coup,mitige,83
photos,via,83
photos,support,83
honnetement,j'espere,83
depuis,fin,83
j'attends,photos,83
passe,valider,83
amelioration,photos,83
photos,simplicite,82
bref,reussi,82
apres,fini,82
aide,honnetement,82
aide,photos,82
passe,plusieurs,82
attente,declaration,82
alors,vite,82
declaration,restent,82
declaration,decu,82
bref,final,82
bref,corriger,82
coup,penible,82
coup,vais,82
inadmissible,l'etape,82
manque,photos,82
declaration,limite,81
echoue,honnetement,81
declaration,passe,81
bref,justificatifs,81
franchement,pourrait,81
decu,sinistre,81
bref,trop,81
inadmissible,sinistre,81
honnetement,terrible,81
bon,honnetement,81
decu,entre,80
justificatifs,mecontent,80
franchement,rapide,80
fin,mecontent,80
alors,pourrait,80
moment,simplicite,80
entre,inadmissible,80
fin,mieux,80
manque,moment,80
honnetement,serieux,80
coup,reessayer,80
inadmissible,valider,79
alors,serieux,79
globalement,honnetement,79
honnetement,vais,79
fini,photos,78
alors,globalement,78
mecontent,trop,78
attente,fin,78
justificatifs,ras,78
bol,justificatifs,78
decu,sont,78
fin,restent,78
apres,n'arrive,78
apres,via,78
apres,support,78
coup,justificatifs,78
alors,tard,78
appeler,photos,78
echoue,mecontent,78
bref,ira,78
mecontent,tourne,77
alors,fin,77
meme,reprendre,77
bref,vite,77
appeler,apres,77
devient,honnetement,77
mecontent,rond,77
m'y,meme,77
fin,inadmissible,77
quand,reussi,77
final,quand,77
bonne,entre,77
meme,support,77
journee,photos,77
apres,attente,76
apres,restent,76
attente,trois,76
meme,via,76
photos,serieux,76
attente,decu,76
decu,restent,76
moment,reprendre,76
m'y,moment,76
alors,l'etape,76
ras,sont,76
corriger,honnetement,76
bol,sont,76
bonne,sinistre,76
bref,sont,76
bonne,valider,76
restent,trois,76
coup,fini,75
honnetement,journee,75
alors,ira,75
quand,trop,75
moment,quand,75
honnetement,penible,75
aide,franchement,75
echoue,mieux,75
honnetement,ira,75
mecontent,sinistre,75
bol,echoue,74
honnetement,vite,74
alors,terrible,74
attente,mecontent,74
honnetement,reessayer,74
moment,reussi,74
depuis,mecontent,74
corriger,coup,74
final,moment,74
j'attends,meme,74
attente,mieux,74
mieux,restent,74
bref,depuis,74
declaration,honnetement,74
meme,valider,74
apres,vais,74
alors,bon,74
echoue,ras,74
mecontent,restent,74
echoue,fin,74
corriger,photos,73
amelioration,meme,73
decu,trois,73
bonne,l'etape,73
photos,vite,73
moment,support,73
apres,limite,73
declaration,echoue,73
fin,limite,73
fin,passe,73
apres,reessayer,73
aide,apres,73
mieux,trois,73
moment,via,73
entre,mecontent,73
coup,fin,72
apres,reussi,72
franchement,globalement,72
support,trop,72
trop,via,72
bonne,trop,72
j'attends,valider,72
mieux,sinistre,72
bonne,fin,72
coup,sont,72
bref,journee,72
j'attends,tourne,72
final,photos,72
j'attends,rond,72
bonne,echoue,72
