motif,situation,dimension,value,n
photo,blocage_parcours,region,Occitanie,98
lenteur,recours_support,urgence,non_renseigne,97
bug,blocage_parcours,device,iOS,97
bug,perte_temps,contexte,collision,96
photo,blocage_parcours,region,Grand Est,96
photo,blocage_parcours,region,Hauts-de-France,96
parcours,perte_temps,device,Web,95
bug,perte_temps,device,Android,94
authentification,perte_temps,canal,App,94
parcours,perte_temps,region,Île-de-France,93
lenteur,perte_temps,device,iOS,91
bug,perte_temps,support,App,91
bug,essais_multiples,contexte,collision,90
parcours,essais_multiples,device,Web,89
bug,essais_multiples,device,Android,88
bug,blocage_parcours,canal,Web,87
lenteur,essais_multiples,canal,Web,87
complexité,perte_temps,contexte,collision,87
parcours,essais_multiples,contexte,bris_de_glace,85
bug,essais_multiples,support,App,85
authentification,essais_multiples,support,App,84
parcours,essais_multiples,support,Téléphone,84
lenteur,essais_multiples,device,iOS,83
photo,recours_support,device,iOS,83
parcours,blocage_parcours,canal,Web,82
authentification,perte_temps,device,Android,81
parcours,essais_multiples,region,Île-de-France,81
parcours,essais_multiples,support,Web,81
complexité,perte_temps,canal,App,81
lenteur,perte_temps,canal,Web,80
bug,recours_support,urgence,non_renseigne,80
authentification,blocage_parcours,urgence,non_renseigne,79
photo,blocage_parcours,contexte,incendie,79
photo,blocage_parcours,region,Pays de la Loire,79
authentification,essais_multiples,canal,Web,79
photo,perte_temps,region,Nouvelle-Aquitaine,79
parcours,blocage_parcours,support,Web,78
photo,recours_support,canal,Web,77
photo,perte_temps,region,Auvergne-Rhône-Alpes,77
authentification,perte_temps,contexte,collision,77
complexité,perte_temps,device,Android,77
bug,blocage_parcours,support,Web,75
photo,perte_temps,contexte,vol,73
photo,essais_multiples,region,Auvergne-Rhône-Alpes,72
lenteur,perte_temps,contexte,bris_de_glace,71
parcours,blocage_parcours,support,Téléphone,71
photo,blocage_parcours,region,Normandie,70
complexité,recours_support,urgence,non_renseigne,70
parcours,blocage_parcours,contexte,bris_de_glace,70
bug,blocage_parcours,contexte,bris_de_glace,69
bug,perte_temps,canal,Web,69
lenteur,blocage_parcours,canal,App,69
authentification,perte_temps,support,App,67
lenteur,perte_temps,support,Téléphone,66
complexité,essais_multiples,canal,App,66
bug,perte_temps,device,iOS,65
complexité,essais_multiples,device,Android,65
photo,essais_multiples,region,Nouvelle-Aquitaine,65
photo,blocage_parcours,region,PACA,65
photo,perte_temps,canal,Téléphone,64
parcours,recours_support,canal,App,64
complexité,essais_multiples,contexte,collision,63
photo,essais_multiples,contexte,catastrophe_naturelle,63
parcours,essais_multiples,region,Auvergne-Rhône-Alpes,63
parcours,blocage_parcours,device,Web,63
lenteur,essais_multiples,support,Web,62
photo,perte_temps,support,Email,62
bug,essais_multiples,device,iOS,62
lenteur,perte_temps,support,Web,61
photo,recours_support,support,Web,61
lenteur,blocage_parcours,contexte,collision,60
bug,essais_multiples,canal,Web,60
authentification,recours_support,urgence,non_renseigne,60
complexité,perte_temps,support,App,59
bug,blocage_parcours,support,Téléphone,59
photo,essais_multiples,support,Email,59
lenteur,perte_temps,device,Web,59
photo,essais_multiples,region,Grand Est,59
photo,essais_multiples,contexte,vol,57
photo,perte_temps,contexte,catastrophe_naturelle,56
photo,blocage_parcours,region,Bretagne,56
authentification,essais_multiples,device,iOS,56
lenteur,blocage_parcours,device,Android,55
photo,essais_multiples,region,Occitanie,55
authentification,essais_multiples,contexte,bris_de_glace,55
photo,perte_temps,region,Pays de la Loire,55
parcours,perte_temps,region,Auvergne-Rhône-Alpes,55
photo,recours_support,contexte,bris_de_glace,54
lenteur,essais_multiples,contexte,bris_de_glace,54
parcours,blocage_parcours,region,Île-de-France,53
lenteur,perte_temps,region,Île-de-France,53
bug,perte_temps,contexte,bris_de_glace,53
complexité,perte_temps,canal,Web,52
complexité,essais_multiples,support,App,52
authentification,essais_multiples,support,Téléphone,52
photo,blocage_parcours,support,Agence,51
lenteur,essais_multiples,support,Téléphone,51
bug,essais_multiples,support,Web,51
photo,perte_temps,region,Hauts-de-France,51
complexité,perte_temps,device,iOS,51
authentification,essais_multiples,device,Web,51
bug,blocage_parcours,device,Web,51
parcours,perte_temps,support,Email,51
photo,perte_temps,region,Grand Est,51
photo,essais_multiples,region,PACA,51
photo,recours_support,support,Téléphone,50
parcours,recours_support,contexte,collision,50
photo,essais_multiples,canal,Téléphone,50
authentification,essais_multiples,support,Web,49
photo,recours_support,device,Web,49
parcours,recours_support,support,App,49
photo,essais_multiples,region,Pays de la Loire,48
parcours,perte_temps,canal,Téléphone,48
bug,blocage_parcours,region,Île-de-France,48
photo,perte_temps,region,PACA,48
lenteur,recours_support,canal,App,47
parcours,perte_temps,region,Grand Est,47
authentification,perte_temps,canal,Web,47
lenteur,recours_support,contexte,collision,47
bug,perte_temps,support,Web,46
photo,recours_support,region,Île-de-France,46
photo,blocage_parcours,canal,Email,46
authentification,perte_temps,device,iOS,45
complexité,blocage_parcours,urgence,non_renseigne,45
lenteur,essais_multiples,device,Web,45
photo,perte_temps,region,Occitanie,44
bug,perte_temps,device,Web,44
bug,essais_multiples,contexte,bris_de_glace,44
parcours,recours_support,device,iOS,44
parcours,blocage_parcours,contexte,catastrophe_naturelle,44
photo,perte_temps,region,Bretagne,44
complexité,perte_temps,support,Web,44
lenteur,recours_support,device,Android,43
parcours,essais_multiples,contexte,catastrophe_naturelle,43
bug,blocage_parcours,region,Auvergne-Rhône-Alpes,43
authentification,blocage_parcours,canal,App,43
lenteur,blocage_parcours,support,App,43
photo,essais_multiples,region,Hauts-de-France,43
parcours,perte_temps,contexte,catastrophe_naturelle,43
parcours,perte_temps,region,Occitanie,41
authentification,essais_multiples,region,Île-de-France,41
bug,essais_multiples,device,Web,41
parcours,perte_temps,region,Nouvelle-Aquitaine,41
parcours,essais_multiples,region,PACA,40
photo,perte_temps,support,Agence,40
bug,recours_support,contexte,collision,40
bug,recours_support,canal,App,40
bug,perte_temps,support,Téléphone,40
photo,recours_support,contexte,catastrophe_naturelle,39
authentification,blocage_parcours,contexte,collision,39
lenteur,perte_temps,region,Auvergne-Rhône-Alpes,39
authentification,perte_temps,contexte,bris_de_glace,38
authentification,perte_temps,device,Web,38
parcours,blocage_parcours,region,Nouvelle-Aquitaine,38
photo,blocage_parcours,region,Bourgogne-Franche-Comté,38
parcours,essais_multiples,region,Occitanie,38
parcours,perte_temps,contexte,vol,38
authentification,perte_temps,support,Téléphone,38
bug,perte_temps,region,Île-de-France,37
photo,recours_support,region,Auvergne-Rhône-Alpes,37
parcours,essais_multiples,region,Grand Est,37
parcours,essais_multiples,canal,Téléphone,37
parcours,recours_support,device,Android,37
bug,blocage_parcours,contexte,catastrophe_naturelle,37
complexité,recours_support,canal,App,37
photo,essais_multiples,contexte,incendie,36
complexité,essais_multiples,canal,Web,36
lenteur,recours_support,canal,Web,36
bug,blocage_parcours,region,Nouvelle-Aquitaine,36
parcours,essais_multiples,support,Email,36
parcours,essais_multiples,region,Nouvelle-Aquitaine,36
authentification,blocage_parcours,device,Android,36
parcours,blocage_parcours,region,Auvergne-Rhône-Alpes,35
parcours,essais_multiples,region,Pays de la Loire,35
authentification,blocage_parcours,support,App,35
bug,essais_multiples,support,Téléphone,35
parcours,perte_temps,region,Hauts-de-France,35
complexité,recours_support,contexte,collision,35
lenteur,blocage_parcours,device,iOS,34
complexité,essais_multiples,device,iOS,34
photo,essais_multiples,region,Normandie,34
photo,essais_multiples,region,Bretagne,34
parcours,blocage_parcours,canal,Téléphone,33
bug,recours_support,device,Android,33
authentification,blocage_parcours,device,iOS,33
photo,essais_multiples,support,Agence,33
lenteur,perte_temps,region,Occitanie,33
lenteur,essais_multiples,region,Île-de-France,33
complexité,essais_multiples,support,Web,33
authentification,recours_support,canal,App,32
bug,recours_support,support,App,32
parcours,blocage_parcours,region,Occitanie,32
parcours,perte_temps,region,Pays de la Loire,32
bug,essais_multiples,region,Île-de-France,32
photo,perte_temps,region,Normandie,32
bug,blocage_parcours,canal,Téléphone,31
parcours,perte_temps,contexte,incendie,31
lenteur,essais_multiples,region,Auvergne-Rhône-Alpes,31
authentification,essais_multiples,region,Auvergne-Rhône-Alpes,31
authentification,essais_multiples,support,Email,31
authentification,perte_temps,support,Web,31
complexité,recours_support,support,App,31
bug,recours_support,device,iOS,31
bug,perte_temps,region,Auvergne-Rhône-Alpes,31
lenteur,perte_temps,region,Grand Est,31
parcours,essais_multiples,contexte,incendie,30
parcours,blocage_parcours,contexte,vol,30
complexité,perte_temps,contexte,bris_de_glace,30
complexité,essais_multiples,device,Web,30
lenteur,perte_temps,canal,Téléphone,30
lenteur,perte_temps,support,Email,30
complexité,perte_temps,support,Téléphone,30
lenteur,blocage_parcours,support,Web,30
